"skPersona","medicion","factorExpPersonas","factorExpHogares","factorExpViviendas","skVivienda","skHogar","skBarrio","codigoComuna","Edad","Sexo","anios_en_barrio","vida_en_barrio","vive_arriendo","valor_arriendo","vivia_en_otro_pais","vivia_en_otro_municipio","vivia_en_otro_barrio","Estrato","posee_gas","posee_aseo","total_cuartos","cuartos_dormir","posee_sanitario","cantidad_personas_hogar","personas_cuarto","hacinamiento","posee_energia","posee_acueducto","posee_alcantarillado","paredes_material","pisos_material","servicios","material_vivienda","barrio_anterior","codigoBarrioComuna","Cod_comuna","cod_barrio","nombreBarrio","zona","Sector","nombreComuna","migrante_en_arriendo","tipo_persona"
"2024_19397",2024,"148.291666666667","144.39590443686","144.122866894198","2024_6584","2024_6584_1",NA,80,47,0,3,0.0638297872340425,1,"9e+05",0,1,0,2,1,1,3,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_19398",2024,"139.647058823529","144.39590443686","144.122866894198","2024_6584","2024_6584_1",NA,80,41,1,3,0.0731707317073171,1,"9e+05",0,1,0,2,1,1,3,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_19399",2024,"95.9","144.39590443686","144.122866894198","2024_6584","2024_6584_1",NA,80,21,0,3,0.142857142857143,1,"9e+05",0,1,0,2,1,1,3,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_19400",2024,"100.666666666667","144.39590443686","144.122866894198","2024_6584","2024_6584_1",NA,80,19,1,3,0.157894736842105,1,"9e+05",0,1,0,2,1,1,3,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_19401",2024,"88.375","144.39590443686","144.122866894198","2024_6585","2024_6585_1",NA,80,68,1,19,0.279411764705882,0,"-88",0,1,0,3,1,1,5,4,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_19402",2024,"162.914285714286","144.39590443686","144.122866894198","2024_6585","2024_6585_1",NA,80,32,1,19,0.59375,0,"-88",0,1,0,3,1,1,5,4,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_19403",2024,"73.7","144.39590443686","144.122866894198","2024_6585","2024_6585_1",NA,80,7,0,7,1,0,"-88",0,0,0,3,1,1,5,4,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19404",2024,"119.166666666667","144.39590443686","144.122866894198","2024_6585","2024_6585_1",NA,80,4,0,4,1,0,"-88",0,0,0,3,1,1,5,4,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19405",2024,"118.305555555556","144.39590443686","144.122866894198","2024_6586","2024_6586_1",NA,80,52,1,20,0.384615384615385,1,"1140000",0,1,0,3,1,1,5,4,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_19406",2024,"383","144.39590443686","144.122866894198","2024_6586","2024_6586_1",NA,80,26,1,20,0.769230769230769,1,"1140000",0,1,0,3,1,1,5,4,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
